iter	Passed	Remaining
176	2936	16970
177	2953	16959
178	2970	16945
179	2987	16930
180	3003	16908
181	3021	16900
182	3038	16885
183	3055	16873
184	3072	16854
185	3087	16833
186	3106	16827
187	3120	16798
188	3138	16789
189	3155	16774
190	3171	16755
191	3188	16738
192	3204	16722
193	3218	16690
194	3236	16681
195	3250	16648
196	3266	16630
197	3283	16615
198	3296	16582
199	3311	16556
200	3328	16543
201	3344	16523
202	3360	16502
203	3377	16490
204	3406	16532
205	3432	16562
206	3449	16545
207	3465	16526
208	3480	16503
209	3494	16473
210	3509	16450
211	3525	16429
212	3542	16414
213	3557	16391
214	3574	16374
215	3587	16343
216	3604	16326
217	3621	16312
218	3639	16301
219	3652	16270
220	3665	16239
221	3681	16217
222	3697	16197
223	3713	16179
224	3729	16162
225	3743	16134
226	3757	16106
227	3776	16098
228	3794	16087
229	3807	16059
230	3824	16043
231	3840	16026
232	3857	16009
233	3873	15992
234	3890	15976
235	3907	15961
236	3921	15935
237	3938	15919
238	3954	15901
239	3969	15876
240	3982	15848
241	3999	15830
242	4016	15819
243	4035	15810
244	4052	15795
245	4068	15776
246	4085	15762
247	4099	15735
248	4115	15719
249	4132	15702
250	4148	15684
251	4166	15673
252	4182	15655
253	4197	15634
254	4217	15629
255	4233	15610
256	4248	15587
257	4264	15569
258	4278	15544
259	4294	15525
260	4308	15500
261	4324	15482
262	4339	15461
263	4354	15437
264	4370	15419
265	4386	15403
266	4401	15380
267	4418	15366
268	4434	15349
269	4451	15332
270	4467	15316
271	4482	15292
272	4495	15265
273	4512	15248
274	4528	15231
275	4545	15216
276	4561	15198
277	4578	15185
278	4595	15170
279	4609	15144
280	4625	15127
281	4639	15101
282	4652	15075
283	4668	15058
284	4685	15042
285	4699	15019
286	4714	14997
287	4731	14983
288	4747	14963
289	4760	14938
290	4778	14925
291	4792	14901
292	4808	14884
293	4821	14859
294	4835	14834
295	4849	14809
296	4865	14792
297	4882	14779
298	4900	14766
299	4916	14749
300	4934	14737
301	4951	14724
302	4969	14712
303	4988	14703
304	5006	14690
305	5019	14665
306	5033	14642
307	5051	14629
308	5068	14614
309	5084	14598
310	5102	14584
311	5118	14568
312	5137	14558
313	5153	14541
314	5170	14528
315	5188	14514
316	5204	14495
317	5219	14476
318	5237	14463
319	5251	14441
320	5266	14420
321	5284	14408
322	5301	14394
323	5317	14376
324	5333	14360
325	5350	14344
326	5367	14329
327	5384	14314
328	5397	14290
329	5411	14267
330	5428	14252
331	5445	14236
332	5461	14219
333	5477	14202
334	5492	14182
335	5509	14167
336	5525	14148
337	5540	14130
338	5555	14110
339	5569	14087
340	5585	14071
341	5603	14056
342	5619	14040
343	5636	14026
344	5651	14006
345	5666	13985
346	5682	13969
347	5698	13952
348	5713	13932
349	5729	13915
350	5743	13891
351	5757	13869
352	5774	13854
353	5792	13842
354	5807	13823
355	5823	13806
356	5838	13787
357	5856	13775
358	5875	13764
359	5892	13748
360	5909	13733
361	5926	13718
362	5943	13704
363	5959	13686
364	5975	13670
365	5991	13653
366	6007	13635
367	6021	13614
368	6036	13595
369	6050	13573
370	6064	13550
371	6080	13533
372	6095	13515
373	6112	13499
374	6125	13476
375	6142	13461
376	6157	13441
377	6174	13426
378	6189	13408
379	6202	13385
380	6219	13370
381	6236	13355
382	6255	13343
383	6273	13331
384	6293	13321
385	6308	13304
386	6325	13288
387	6341	13270
388	6356	13252
389	6372	13234
390	6385	13211
391	6401	13195
392	6417	13177
393	6433	13161
394	6447	13140
395	6460	13117
396	6476	13099
397	6490	13078
398	6506	13061
399	6522	13045
400	6537	13025
401	6551	13005
402	6566	12987
403	6583	12971
404	6601	12958
